Store Nbr	Store Name	FORMATO	WH
1961	MB VILLA VICTORIA	MIBODEGA	8805
1963	MB ZARAGOZA	MIBODEGA	7468
1974	SC BOSQUES DE RENTERIA	SUPERCENTER	7464
1975	BA PRIMER ANILLO	BODEGA	7493
1977	MB AMOZOC	MIBODEGA	7471
1978	MB CHILAPA DE ALVAREZ	MIBODEGA	8805
1979	MB TENANGO CENTRO	MIBODEGA	8805
1980	MB XOCHITEPEC CENTRO	MIBODEGA	7471
1982	MB BOULEVARD JUAREZ	MIBODEGA	8805
1983	MB TICUL	MIBODEGA	4188
2000	BA MAZATLAN	BODEGA	7487
2006	BA JUCHITAN	BODEGA	7468
2008	BA SAN ANDRES TUXTLA	BODEGA	7468
2009	BA SLP ACCESO NTE	BODEGA	7494
2015	MB PURUANDIRO	MIBODEGA	8805
2017	MB VALLE DE SANTIAGO	MIBODEGA	8805
2018	MB SALVATIERRA	MIBODEGA	8805
2019	MB AUTLAN	MIBODEGA	5907
2020	MB LAS CHOAPAS	MIBODEGA	7468
2023	SC MACROPLAZA INSURGENTES	SUPERCENTER	4924
2024	BA EJERCITO MEXICANO	BODEGA	7471
2026	BA ACAPULCO UNIV	BODEGA	7494
2027	BA ZACATECAS	BODEGA	7493
2028	BA CONCEPCION DEL VALLE	BODEGA	7493
2029	BA MERIDA ITZAES	BODEGA	4188
2033	SC PLAZA ORIENTE	SUPERCENTER	7471
2034	SC LAS TORRES	SUPERCENTER	7490
2038	BA SILAO	BODEGA	7494
2039	MB TANTOYUCA	MIBODEGA	8805
2040	MB PANUCO	MIBODEGA	8805
2041	SC TOLTECAS	SUPERCENTER	7464
2042	SC GRECO NOGALES	SUPERCENTER	4924
2044	SC VALLE ORIENTE	SUPERCENTER	7490
2049	SC ZARAGOZA	SUPERCENTER	4640
2050	SC URUAPAN	SUPERCENTER	7493
2052	WALMART EXPRESS XALAPA	WMEXPRESS	7471
2053	SC BLVD COLOSIO	SUPERCENTER	7487
2054	BA TERRANOVA	BODEGA	7482
2055	MB ZACATLAN	MIBODEGA	8805
2058	MB COMONFORT	MIBODEGA	8805
2059	MB SAYULA	MIBODEGA	5907
2061	MB IXTLAN DEL RIO	MIBODEGA	5907
2062	BA PLAYA DEL CARMEN NORTE	BODEGA	4188
2066	BA REFORMA SUR	BODEGA	7471
2067	MB ENCARNACION JAL	MIBODEGA	5907
2069	MB NUEVA ITALIA	MIBODEGA	5907
2070	BA SOCONUSCO	BODEGA	7468
2072	BA PORTAL CHALCO	BODEGA	7471
2073	BA NOGALES	BODEGA	4924
2074	SC CARRETERA 57	SUPERCENTER	7490
2075	SC SLP MUNOZ	SUPERCENTER	7490
2076	SC MIGUEL ALEMAN	SUPERCENTER	7490
2077	BA SLP REFORMA	BODEGA	7494
2078	BA MATEHUALA	BODEGA	7490
2079	SC CD JARDIN	SUPERCENTER	7471
2080	SC SLP ARBOLEDAS	SUPERCENTER	7490
2085	MB PEROTE	MIBODEGA	7471
2086	MB APASEO EL ALTO	MIBODEGA	8805
2087	MB ACTOPAN	MIBODEGA	8805
2088	MB XICOTEPEC	MIBODEGA	8805
2089	SC PLAZA MONUMENTAL	SUPERCENTER	4640
2090	SC ANGELOPOLIS	SUPERCENTER	7471
2091	SC EL SAUZ CELAYA	SUPERCENTER	7464
2092	WALMART EXPRESS CAMPESTRE	WMEXPRESS	7493
2093	WALMART EXPRESS BONAMPAK	WMEXPRESS	4188
2096	MB ZUMPANGO DEL RIO	MIBODEGA	8805
2097	BA PUEBLO NUEVO	BODEGA	7490
2098	BA SAUCITO	BODEGA	7494
2099	BA CORTAZAR	BODEGA	7494
2101	BD NUEVO LAREDO PERIFERIC	BODEGA	7490
2104	MB ESCARCEGA JUSTO SIERRA	MIBODEGA	7468
2106	BA LAS PALMAS	BODEGA	7487
2108	BA KALA	BODEGA	4188
2111	BD AGUAMILPA	BODEGA	7493
2112	BA AV MEXICO II	BODEGA	7493
2113	MB PABELLON LIBRAMIENTO	MIBODEGA	5907
2114	MB CATEMACO	MIBODEGA	7468
2115	MB MAPASTEPEC	MIBODEGA	7468
2124	BAE 90 PONIENTE	BAE	7459
2135	BA CLINICA UNION DEL CUAT	BODEGA	7493
2136	BA BOULEVARD MORELOS	BODEGA	7494
2138	BA DELICIAS SUR	BODEGA	4640
2141	BA XONACATLAN	BODEGA	7494
2142	BA REFORMA MACUSPANA	BODEGA	7468
2143	MI BODEGA TEOPISCA	MIBODEGA	7468
2144	MB VICENTE GUERRERO	MIBODEGA	7487
2145	MB NORTE CHIGNAHUAPAN	MIBODEGA	8805
2169	BAE POPOTLA	BAE	7457
2176	MB ALEMAN CENTRO	MIBODEGA	5922
2179	SC SAN NICOLAS	SUPERCENTER	7490
2197	MB DZIDZANTUN	MIBODEGA	4188
2204	SC MARINA MAZATLAN	SUPERCENTER	7487
2210	MB ACAMBAY	MIBODEGA	8805
2211	SC MAHATMA GANDHI	SUPERCENTER	7493
2212	MB OJINAGA	MIBODEGA	4640
2213	BD HUICHAPAN	BODEGA	7482
2215	MB TASQUILLO	MIBODEGA	8805
2218	SC TUXPAN	SUPERCENTER	7471
2219	SC HUEHUETOCA JOROBAS	SUPERCENTER	7464
2220	WALMART EXPRESS RUBEN DAR	WMEXPRESS	7493
2221	BA ALPINISMO	BODEGA	7494
2222	BA SAN JERONIMO	BODEGA	7471
2223	BA REYNOSA	BODEGA	7490
2224	BA CD JUAREZ JILOTEPEC	BODEGA	4640
2225	BA TIJUANA SUR	BODEGA	4924
2228	BA LA POLAR	BODEGA	7494
2232	BAE VILLAS ESTRELLA	BAE	7459
2240	BA STA CRUZ	BODEGA	7494
2243	BA NAVOJOA	BODEGA	7487
2244	MB LA BARCA	MIBODEGA	5907
2246	MI BO LAS MARGARITAS	MIBODEGA	7468
2247	MB LAZARO GUTIERREZ	MIBODEGA	4640
2266	BAE LOS GALLOS	BAE	7457
2271	SC AGUASCALIENTES ORIENTE	SUPERCENTER	7493
2281	MB JESUS CHAPARRO	MIBODEGA	8805
2284	SC PORTAL CUAUTITLAN	SUPERCENTER	7464
2285	MB HUEJOTZINGO CALLE MOR	MIBODEGA	7471
2286	MB COBA TULUM	MIBODEGA	4188
2289	MB FELI CARRI PTO	MIBODEGA	4188
2300	MB VICENTE	MIBODEGA	4640
2302	SC CHIHUAHUA	SUPERCENTER	4640
2303	SC HERMOSILLO	SUPERCENTER	7487
2304	SC MEXICALI	SUPERCENTER	4924
2316	MB BUENAVISTA	MIBODEGA	5907
2325	SC COLINAS DEL PADRE	SUPERCENTER	7493
2332	MB TECOLUTILLA	MIBODEGA	7468
2340	BA PIE DE LA CUESTA	BODEGA	7494
2341	MB CANATLAN	MIBODEGA	7487
2342	SC VALLARTA	SUPERCENTER	7493
2343	SC TOLUCA	SUPERCENTER	7464
2344	SC TOREO	SUPERCENTER	7464
2345	SC TEPEYAC	SUPERCENTER	7464
2346	SC AGUASCALIENTES	SUPERCENTER	7493
2347	SC TLAHUAC	SUPERCENTER	7471
2349	SC ACAPULCO	SUPERCENTER	7471
2352	BA MOCHICAHUI	BODEGA	7487
2355	BA RIO MEZQUITE	BODEGA	7494
2356	SC QUERETARO	SUPERCENTER	7464
2358	BA EMILIO CARRANZA	BODEGA	7494
2362	BA HUAJUAPAN 2 DE ABRIL	BODEGA	7471
